Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,latitude,longitude,altitude,UTM_northing,UTM_easting,Zone,letter
1663967560.2855268,0,150000,0,GPS1_Fram1,42.33868833333333,-71.08837166666666,0.9,4220.3213,7105.3023,19,T
1663967561.2857747,0,150060,0,GPS1_Fram1,42.33868833333333,-71.08837,0.9,4220.3213,7105.3022,19,T
1663967562.2858744,0,150120,0,GPS1_Fram1,42.33869333333333,-71.08837666666666,0.9,4220.3216,7105.3026,19,T
1663967563.2851286,0,150180,0,GPS1_Fram1,42.338695,-71.08837833333334,0.9,4220.3217,7105.3027,19,T
1663967564.304946,0,150240,0,GPS1_Fram1,42.3387,-71.088385,0.9,4220.322,7105.3031,19,T
1663967565.277346,0,150300,0,GPS1_Fram1,42.338705,-71.08839333333333,1.2,4220.3223,7105.3036,19,T
1663967566.3033855,0,150360,0,GPS1_Fram1,42.33871166666667,-71.08840166666667,0.9,4220.3227,7105.3041,19,T
1663967567.2770443,0,150420,0,GPS1_Fram1,42.33871833333333,-71.08841,1.2,4220.3231,7105.3046,19,T
1663967568.2844057,0,150480,0,GPS1_Fram1,42.338723333333334,-71.08841333333334,1.1,4220.3234,7105.3048,19,T
1663967569.3033726,0,150540,0,GPS1_Fram1,42.33873,-71.08841833333334,0.9,4220.3238,7105.3051,19,T
1663967570.2845833,0,150600,0,GPS1_Fram1,42.33874,-71.088425,0.9,4220.3244,7105.3055,19,T
1663967571.2840478,0,150660,0,GPS1_Fram1,42.338748333333335,-71.08842833333334,0.9,4220.3249,7105.3057,19,T
1663967572.2842171,0,150720,0,GPS1_Fram1,42.338755,-71.08843166666666,0.9,4220.3253,7105.3059,19,T
1663967573.3046813,0,150780,0,GPS1_Fram1,42.33876333333333,-71.088435,0.9,4220.3258,7105.3061,19,T
1663967574.2859051,0,150840,0,GPS1_Fram1,42.33877,-71.08844,0.9,4220.3262,7105.3064,19,T
1663967575.3042781,0,150900,0,GPS1_Fram1,42.33877666666667,-71.08844666666667,0.9,4220.3266,7105.3068,19,T
1663967576.285407,0,150960,0,GPS1_Fram1,42.338786666666664,-71.08845333333333,0.9,4220.3272,7105.3072,19,T
1663967577.284504,0,151020,0,GPS1_Fram1,42.338795,-71.08846166666666,0.9,4220.3277,7105.3077,19,T
1663967578.2839158,0,151080,0,GPS1_Fram1,42.33880666666666,-71.08846833333334,0.9,4220.3284,7105.3081,19,T
1663967579.3041239,0,151140,0,GPS1_Fram1,42.33882,-71.08847666666666,0.9,4220.3292,7105.3086,19,T
1663967580.3039513,0,153600,0,GPS1_Fram1,42.33883333333333,-71.08848666666667,0.9,4220.33,7105.3092,19,T
1663967581.2849355,0,153660,0,GPS1_Fram1,42.33884333333334,-71.08849333333333,0.9,4220.3306,7105.3096,19,T
1663967582.2865624,0,153720,0,GPS1_Fram1,42.33885333333333,-71.08849833333333,0.9,4220.3312,7105.3099,19,T
1663967583.2837594,0,153780,0,GPS1_Fram1,42.338861666666666,-71.08850166666667,0.9,4220.3317,7105.3101,19,T
1663967584.2851543,0,153840,0,GPS1_Fram1,42.33887,-71.088505,0.9,4220.3322,7105.3103,19,T
1663967585.2846158,0,153900,0,GPS1_Fram1,42.338878333333334,-71.08851,0.9,4220.3327,7105.3106,19,T
1663967586.2841058,0,153960,0,GPS1_Fram1,42.33888666666667,-71.08851333333334,0.9,4220.3332,7105.3108,19,T
1663967587.2846437,0,154020,0,GPS1_Fram1,42.33889333333333,-71.08851666666666,0.9,4220.3336,7105.311,19,T
1663967588.3040066,0,154080,0,GPS1_Fram1,42.338901666666665,-71.08852,0.9,4220.3341,7105.3112,19,T
1663967589.2843626,0,154140,0,GPS1_Fram1,42.338908333333336,-71.08852333333333,0.9,4220.3345,7105.3114,19,T
1663967590.2856793,0,154200,0,GPS1_Fram1,42.33891666666667,-71.08852666666667,0.9,4220.335,7105.3116,19,T
1663967591.2854583,0,154260,0,GPS1_Fram1,42.338925,-71.08853166666667,0.9,4220.3355,7105.3119,19,T
1663967592.305693,0,154320,0,GPS1_Fram1,42.33893166666667,-71.088535,0.9,4220.3359,7105.3121,19,T
1663967593.3047845,0,154380,0,GPS1_Fram1,42.33893666666667,-71.08854,0.9,4220.3362,7105.3124,19,T
1663967594.3042302,0,154440,0,GPS1_Fram1,42.33894333333333,-71.08854666666667,0.9,4220.3366,7105.3128,19,T
1663967595.2854114,0,154500,0,GPS1_Fram1,42.338953333333336,-71.08855166666666,0.9,4220.3372,7105.3131,19,T
1663967596.2837253,0,154560,0,GPS1_Fram1,42.33896333333333,-71.08855666666666,0.9,4220.3378,7105.3134,19,T
1663967597.286097,0,154620,0,GPS1_Fram1,42.33897,-71.08856166666666,0.9,4220.3382,7105.3137,19,T
1663967598.2860887,0,154680,0,GPS1_Fram1,42.33897833333333,-71.08856833333333,0.9,4220.3387,7105.3141,19,T
1663967599.302875,0,154740,0,GPS1_Fram1,42.338985,-71.088575,0.9,4220.3391,7105.3145,19,T
1663967600.2851727,0,154800,0,GPS1_Fram1,42.338993333333335,-71.08858166666667,0.9,4220.3396,7105.3149,19,T
1663967601.3040063,0,154860,0,GPS1_Fram1,42.33900333333333,-71.08858833333333,0.9,4220.3402,7105.3153,19,T
1663967602.2845206,0,154920,0,GPS1_Fram1,42.339015,-71.08859833333334,0.9,4220.3409,7105.3159,19,T
1663967603.3020334,0,154980,0,GPS1_Fram1,42.33902833333333,-71.08861,0.9,4220.3417,7105.3166,19,T
1663967604.2863145,0,155040,0,GPS1_Fram1,42.339036666666665,-71.08861833333333,0.9,4220.3422,7105.3171,19,T
1663967605.3044207,0,155100,0,GPS1_Fram1,42.339043333333336,-71.08862833333333,0.9,4220.3426,7105.3177,19,T
1663967606.3028145,0,155160,0,GPS1_Fram1,42.33905,-71.08864166666666,0.9,4220.343,7105.3185,19,T
1663967607.28407,0,155220,0,GPS1_Fram1,42.339058333333334,-71.08865166666666,0.9,4220.3435,7105.3191,19,T
1663967608.2836866,0,155280,0,GPS1_Fram1,42.33906666666667,-71.08865833333333,0.9,4220.344,7105.3195,19,T
1663967609.302411,0,155340,0,GPS1_Fram1,42.339075,-71.08866666666667,0.9,4220.3445,7105.32,19,T
1663967610.285638,0,155400,0,GPS1_Fram1,42.339081666666665,-71.08867333333333,0.9,4220.3449,7105.3204,19,T
1663967611.2827225,0,155460,0,GPS1_Fram1,42.33909,-71.08868166666667,1.0,4220.3454,7105.3209,19,T
1663967612.2824876,0,155520,0,GPS1_Fram1,42.3391,-71.08869,1.0,4220.346,7105.3214,19,T
1663967613.285173,0,155580,0,GPS1_Fram1,42.339106666666666,-71.08869833333334,0.9,4220.3464,7105.3219,19,T
1663967614.2850494,0,155640,0,GPS1_Fram1,42.33911333333333,-71.08870666666667,0.9,4220.3468,7105.3224,19,T
